Model,Dataset,Student Alpha,mAP,mAP@50,mAP@75,mAP@Small,mAP@Medium,mAP@Large,mAR@1,mAR@10,mAR@100,mAR@Small,mAR@Medium,mAR@Large
RetinaNet,SODA 01m Binary,0.0,0.60811967,0.91573673,0.74026847,,0.44037223,0.6446209,0.470922,0.66950357,0.66950357,,0.504,0.7051724
RetinaNet,SODA 01m Binary,0.25,0.75658643,0.9648402,0.8943468,,0.62015027,0.79104203,0.5411348,0.8014184,0.8014184,,0.676,0.8284483
RetinaNet,SODA 01m Binary,0.5,0.7529483,0.97289044,0.92090946,,0.6001289,0.79104453,0.53120565,0.8,0.8,,0.66,0.8301724
RetinaNet,SODA 01m Binary,0.75,0.7608308,0.96810764,0.94767046,,0.6111158,0.79312766,0.5319149,0.7929078,0.7929078,,0.664,0.8206897
RetinaNet,SODA 01m Binary,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
FCOS,SODA 01m Binary,0.0,0.6843639,0.9193309,0.84469426,,0.5134044,0.71812063,0.5092199,0.72978723,0.72978723,,0.588,0.7603448
FCOS,SODA 01m Binary,0.25,0.7330502,0.9568153,0.91260403,,0.6239828,0.75561446,0.5276596,0.7765958,0.7765958,,0.668,0.8
FCOS,SODA 01m Binary,0.5,0.73247004,0.9418148,0.89064944,,0.5308846,0.77356553,0.52978724,0.77446806,0.77446806,,0.612,0.80948275
FCOS,SODA 01m Binary,0.75,0.7455537,0.96879053,0.922107,,0.629464,0.77237636,0.5255319,0.79432625,0.79432625,,0.672,0.8206897
FCOS,SODA 01m Binary,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Faster R-CNN,SODA 01m Binary,0.0,0.6470044,0.9226622,0.7959809,,0.4335967,0.6877531,0.4900709,0.69361705,0.69361705,,0.504,0.73448277
Faster R-CNN,SODA 01m Binary,0.25,0.7444169,0.9793585,0.9592364,,0.67334616,0.7622688,0.5184397,0.78723407,0.78723407,,0.704,0.80517244
Faster R-CNN,SODA 01m Binary,0.5,0.7383552,0.97822404,0.92845553,,0.64447665,0.75817454,0.5106383,0.77588654,0.77588654,,0.696,0.79310346
Faster R-CNN,SODA 01m Binary,0.75,0.7443918,0.96654975,0.92063123,,0.6019474,0.7733599,0.5248227,0.7787234,0.7787234,,0.644,0.8077586
Faster R-CNN,SODA 01m Binary,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
SSD,SODA 01m Binary,0.0,0.45246366,0.7178494,0.5125785,,0.08990649,0.5376105,0.39574468,0.49503547,0.49503547,,0.112,0.57758623
SSD,SODA 01m Binary,0.25,0.5865192,0.88967973,0.75113344,,0.49733216,0.60763466,0.46453902,0.6432624,0.6432624,,0.548,0.6637931
SSD,SODA 01m Binary,0.5,0.5783556,0.88109523,0.739781,,0.48084208,0.5990536,0.4609929,0.6390071,0.6390071,,0.52,0.66465515
SSD,SODA 01m Binary,0.75,0.5633532,0.90717256,0.65963185,,0.47539285,0.5839997,0.4425532,0.635461,0.635461,,0.532,0.6577586
SSD,SODA 01m Binary,1.0,0.00014269473,0.0008043398,0.0,,3.2569045e-05,0.00017025089,0.0,0.00070921984,0.037588652,,0.008,0.04396552
